               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11973,            0.028838,            0.066985,           0.0017911,             0.23589,           0.0022817,          0.00071127,             0.11429,            0.017567,            0.065501,              0.0847,              0.0017,              0.0017
                   1,             0.10927,            0.037262,            0.065654,           0.0024756,             0.31319,           0.0061052,           0.0019753,             0.10399,             0.02121,            0.064178,            0.068385,           0.0033845,           0.0033845
                   2,            0.099409,            0.039445,            0.063231,           0.0032934,             0.23153,           0.0041937,           0.0012443,             0.10087,            0.021709,             0.06153,             0.05195,           0.0049502,           0.0049502
                   3,            0.092989,            0.043789,            0.061163,             0.14182,            0.020143,            0.015603,           0.0080215,            0.095581,            0.022845,             0.05906,            0.035397,           0.0063971,           0.0063971
                   4,            0.087382,            0.045633,            0.059013,            0.075161,            0.072066,            0.030656,            0.012625,            0.094337,            0.022278,            0.057618,            0.018725,           0.0077252,           0.0077252
                   5,            0.085072,            0.044403,            0.056877,             0.16113,            0.076513,            0.035152,            0.013955,            0.090705,            0.022616,            0.057108,             0.00835,             0.00835,             0.00835
                   6,            0.081681,            0.043203,            0.056574,             0.45434,             0.12406,            0.057328,            0.021879,            0.088711,            0.022049,            0.056224,             0.00835,             0.00835,             0.00835
                   7,            0.079719,            0.041828,            0.055803,             0.38993,            0.054648,            0.039883,            0.015467,            0.082527,            0.023641,            0.054737,             0.00802,             0.00802,             0.00802
                   8,              0.0763,            0.043692,             0.05487,             0.27124,            0.095525,            0.036793,            0.015799,             0.08161,            0.024245,            0.053476,             0.00769,             0.00769,             0.00769
                   9,              0.0757,            0.043283,            0.052657,             0.14239,             0.25454,            0.058878,            0.028741,            0.076125,            0.023877,            0.051296,             0.00736,             0.00736,             0.00736
                  10,             0.07364,            0.042354,            0.052478,             0.16213,             0.24966,            0.075002,            0.030614,            0.074589,            0.023318,            0.051006,             0.00703,             0.00703,             0.00703
                  11,            0.072988,            0.042342,             0.05205,              0.2135,             0.23988,              0.1027,            0.040002,            0.072179,             0.02286,            0.050228,              0.0067,              0.0067,              0.0067
                  12,            0.070659,            0.043222,            0.051153,             0.26166,              0.2388,             0.11764,            0.058548,            0.071175,            0.023063,            0.049182,             0.00637,             0.00637,             0.00637
                  13,            0.070478,            0.045086,             0.04964,             0.25225,             0.28469,             0.15263,            0.071966,            0.068887,            0.023103,            0.048129,             0.00604,             0.00604,             0.00604
                  14,            0.070099,            0.044631,            0.049539,             0.29853,             0.27166,             0.15431,            0.056323,            0.069427,             0.02278,            0.047156,             0.00571,             0.00571,             0.00571
                  15,            0.066534,            0.041455,            0.048808,             0.29397,             0.31007,             0.17979,            0.068805,            0.066669,            0.022664,            0.045748,             0.00538,             0.00538,             0.00538
                  16,            0.067982,            0.042102,            0.047633,               0.274,             0.32378,             0.17926,            0.084109,            0.067628,            0.022589,            0.044662,             0.00505,             0.00505,             0.00505
                  17,            0.066144,             0.04455,            0.047642,             0.29409,             0.33972,              0.1878,             0.09359,            0.065039,            0.022521,            0.043871,             0.00472,             0.00472,             0.00472
                  18,            0.066302,            0.042747,            0.046957,             0.23885,             0.32609,             0.18244,            0.089351,            0.066069,            0.022489,            0.043081,             0.00439,             0.00439,             0.00439
                  19,            0.065271,            0.042027,            0.046174,             0.22761,             0.37405,             0.23033,             0.11729,            0.064008,            0.022523,            0.042268,             0.00406,             0.00406,             0.00406
                  20,             0.06432,            0.042346,            0.044605,             0.21144,             0.34422,             0.20334,              0.1018,            0.065153,            0.022824,            0.041975,             0.00373,             0.00373,             0.00373
                  21,            0.063983,            0.043322,            0.044483,             0.23848,             0.40303,             0.24662,             0.12689,            0.062008,             0.02228,            0.041164,              0.0034,              0.0034,              0.0034
                  22,            0.063577,            0.041093,            0.043229,             0.23052,             0.41186,             0.24999,             0.12152,            0.061235,            0.021946,            0.040598,             0.00307,             0.00307,             0.00307
                  23,            0.063336,            0.041605,            0.043524,             0.24352,             0.40712,             0.26053,              0.1294,            0.061063,            0.021803,            0.039938,             0.00274,             0.00274,             0.00274
                  24,            0.062012,            0.041664,            0.042391,              0.2557,             0.41923,             0.26519,             0.13131,            0.061227,            0.021611,            0.039377,             0.00241,             0.00241,             0.00241
                  25,            0.062182,            0.039406,            0.042212,              0.2479,             0.39919,             0.29256,             0.14843,            0.060892,            0.021684,            0.039038,             0.00208,             0.00208,             0.00208
                  26,            0.060504,            0.040613,            0.041822,             0.23372,             0.41606,             0.29804,             0.14588,            0.060446,            0.021686,            0.038649,             0.00175,             0.00175,             0.00175
                  27,            0.062161,            0.042314,            0.041091,             0.24667,             0.41043,             0.30591,             0.14972,             0.05992,            0.021648,             0.03824,             0.00142,             0.00142,             0.00142
                  28,            0.060714,            0.042492,            0.041331,             0.25591,             0.42065,             0.29569,             0.15176,            0.059605,            0.021656,            0.037963,             0.00109,             0.00109,             0.00109
                  29,            0.060785,            0.041727,            0.040956,             0.26716,             0.42025,             0.29892,             0.14924,            0.059414,            0.021542,            0.037674,             0.00076,             0.00076,             0.00076
